#filetype genotype_data
#format update_born id parent_id depth parent_dist ancestor_dist length fitness num_cpus task task total_task_count sequence alignment 

# Legend:
# 1: Update Born
# 2: Genotype ID
# 3: Parent ID
# 4: Tree Depth
# 5: Parent Distance
# 6: Ancestor Distance
# 7: Genome Length
# 8: Fitness
# 9: Number of CPUs
# 10: Xor
# 11: Equals
# 12: # Different Tasks
# 13: Genome Sequence
# 14: Aligned Sequence

6058 66731 64703 10 1 10 121 66.2456 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccvccccccccccccocccccccccccccbycccvacccccuccccccccccccccccncjcccccccccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccvccccccccccccocccccccccccccbycccvacccccuccccccccccccccccncjcccccccccckccccccccczvfcaxgab 
6321 69838 66731 11 1 11 121 66.3912 0 1 1 2 wzcagccccccyycoururapurcuopcuyyccvccccccccccccocccccccccccccbycccvacdcccuccccccccccccccccncjcccccccccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyyccvccccccccccccocccccccccccccbycccvacdcccuccccccccccccccccncjcccccccccckccccccccczvfcaxgab 
6366 70377 69838 12 1 12 121 66.3912 0 1 1 2 wzcagccccccyycoururapurcuopcuyycwvccccccccccccocccccccccccccbycccvacdcccuccccccccccccccccncjcccccccccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyycwvccccccccccccocccccccccccccbycccvacdcccuccccccccccccccccncjcccccccccckccccccccczvfcaxgab 
7656 85905 70377 13 1 13 121 66.5374 0 1 1 2 wzcagccccccyycoururapurcuopcuyycwvccccccccccccocccccccccccccbycccvacdcccuccccocccccccccccncjcccccccccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyycwvccccccccccccocccccccccccccbycccvacdcccuccccocccccccccccncjcccccccccckccccccccczvfcaxgab 
7920 89138 85905 14 1 14 121 66.5374 0 1 1 2 wzcagccccccyycoururapurcuopcuyycwvccccccccccccocccccccccccccbycccvacdcccucccckcccccccccccncjcccccccccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyycwvccccccccccccocccccccccccccbycccvacdcccucccckcccccccccccncjcccccccccckccccccccczvfcaxgab 
8897 100779 89138 15 1 15 121 66.6843 0 1 1 2 wzcagccccccyycoururapurcuopcuyycwvccccccccccccocccccccccccccbycccvacdcccucccckcccccccccccncjccccccrccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyycwvccccccccccccocccccccccccccbycccvacdcccucccckcccccccccccncjccccccrccckccccccccczvfcaxgab 
9813 111759 100779 16 1 16 121 66.8319 0 1 1 2 wzcagccccccyycoururapurcuopcuyycwvcccoccccccccocccccccccccccbycccvacdcccucccckcccccccccccncjccccccrccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyycwvcccoccccccccocccccccccccccbycccvacdcccucccckcccccccccccncjccccccrccckccccccccczvfcaxgab 
9844 112141 111759 17 1 17 121 67.1289 0 1 1 2 wzcagccccccyycoururapurcuopcuyycwvcccoccccccccocccccccccccccbvcccvacdcccucccckcccccccccccncjccccccrccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyycwvcccoccccccccocccccccccccccbvcccvacdcccucccckcccccccccccncjccccccrccckccccccccczvfcaxgab 
10178 116286 112141 18 1 18 121 67.2784 0 1 1 2 wzcagccccccyycoururapurcuopcuyycwvcccoccccccccocccccccccccccbvcccvacdcccucccckcccccccccccncjccmcccrccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyycwvcccoccccccccocccccccccccccbvcccvacdcccucccckcccccccccccncjccmcccrccckccccccccczvfcaxgab 
10521 120446 116286 19 1 19 121 67.1289 0 1 1 2 wzcagccccccyycoururapurcuopcuyycwvcccoccccccccocccccccccccccbvcccvacdcccucccckcccccccccccncbccmcccrccckccccccccczvfcaxgab wzcagccccccyycoururapurcuopcuyycwvcccoccccccccocccccccccccccbvcccvacdcccucccckcccccccccccncbccmcccrccckccccccccczvfcaxgab 
