#filetype genotype_data
#format update_born id parent_id depth parent_dist ancestor_dist length fitness num_cpus task task total_task_count sequence alignment 

# Legend:
# 1: Update Born
# 2: Genotype ID
# 3: Parent ID
# 4: Tree Depth
# 5: Parent Distance
# 6: Ancestor Distance
# 7: Genome Length
# 8: Fitness
# 9: Number of CPUs
# 10: Xor
# 11: Equals
# 12: # Different Tasks
# 13: Genome Sequence
# 14: Aligned Sequence

3555 36896 36701 24 1 24 121 65.3974 0 1 1 2 wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccsccccccpcccccqcccccmeccccxcrctcsccccccnccccqwcccnyzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccsccccccpcccccqcccccmeccccxcrctcsccccccnccccqwcccnyzvfcaxgab 
3580 37185 36896 25 1 25 121 65.3974 0 1 1 2 wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccsccccccpcccccqcccccmeccccacrctcsccccccnccccqwcccnyzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccsccccccpcccccqcccccmeccccacrctcsccccccnccccqwcccnyzvfcaxgab 
3989 42055 37185 26 2 27 121 2.04367 0 1 0 1 wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpccccccpcccccqcccccmeccccacrctcsccccccnccccqwcccryzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpccccccpcccccqcccccmeccccacrctcsccccccnccccqwcccryzvfcaxgab 
4029 42558 42055 27 1 28 121 2.06114 0 1 0 1 wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpccccccpcscccqcccccmeccccacrctcsccccccnccccqwcccryzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpccccccpcscccqcccccmeccccacrctcsccccccnccccqwcccryzvfcaxgab 
4036 42612 42558 28 1 29 121 2.06114 0 1 0 1 wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpccccccpcscccqcwcccmeccccacrctcsccccccnccccqwcccryzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpccccccpcscccqcwcccmeccccacrctcsccccccnccccqwcccryzvfcaxgab 
4569 48966 42612 29 1 30 121 65.5405 0 1 1 2 wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpcccccypcscccqcwcccmeccccacrctcsccccccnccccqwcccryzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpcccccypcscccqcwcccmeccccacrctcsccccccnccccqwcccryzvfcaxgab 
4614 49471 48966 30 1 31 121 65.5405 0 1 1 2 wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpcccccypcscccqcwcAcmeccccacrctcsccccccnccccqwcccryzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpcccccypcscccqcwcAcmeccccacrctcsccccccnccccqwcccryzvfcaxgab 
4618 49513 49471 31 1 32 121 65.5405 0 1 1 2 wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpcccccypcscccqcwcAcmeccccacrctbsccccccnccccqwcccryzvfcaxgab wzcagccdcccyycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpcccccypcscccqcwcAcmeccccacrctbsccccccnccccqwcccryzvfcaxgab 
4643 49827 49513 32 1 33 121 65.5405 0 1 1 2 wzcagccdccayycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpcccccypcscccqcwcAcmeccccacrctbsccccccnccccqwcccryzvfcaxgab wzcagccdccayycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpcccccypcscccqcwcAcmeccccacrctbsccccccnccccqwcccryzvfcaxgab 
4858 52440 49827 33 1 34 121 65.6842 0 1 1 2 wzcagccdccayycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpcchccypcscccqcwcAcmeccccacrctbsccccccnccccqwcccryzvfcaxgab wzcagccdccayycoururapurcuopcujyccccccccccwcccccccacccccccqcjccpcchccypcscccqcwcAcmeccccacrctbsccccccnccccqwcccryzvfcaxgab 
